Year,Month,NVA,ONV,HST,HD,MVT,FX,Champion,Fortune,Sunlight,Prosperity,Regal,MVT_ratio,MVT_dummy,GDP,PCT_dummy,GS,PCT_des,PCT,Bridge
,,number of visitors,Number of Overnight Chinese visitors,hish speed train,# holidays,Days of movement,RMB/HKD,Champion REIT,Fortune REIT,Sunlight REIT,Prosperity REIT,Regal REIT,,,Quarter CN GDP (CNY),Policy Change on Chinese Tourist in HK,Google Search (0-100),,Scale the PCT_dummy,large-scaled infrastures 
2014,Jan,4347400,1646199,0,2,0,1.283604,3.3,6.07,2.83,2.22,2.08,0,0,11472.44597,0,28,,4,0
2014,Feb,3458215,1579100,0,6,0,1.277418182,3.48,6.02,2.9,2.29,2.14,0,0,11472.44597,0,40,,4,0
2014,Mar,3601086,1450623,0,0,0,1.259365385,3.54,5.99,2.9,2.24,2.17,0,0,11472.44597,0,43,,4,0
2014,Apr,3568064,1468666,0,3,0,1.247052273,3.65,6.14,3.05,2.29,2.16,0,0,12117.48755,0,59,,4,0
2014,May,3452734,1394143,0,4,0,1.24278,3.68,6.83,3.25,2.43,2.08,0,0,12117.48755,0,74,,4,0
2014,Jun,3395330,1378463,0,2,0,1.243835417,3.6,6.8,3.27,2.42,2.09,0,0,12117.48755,0,21,,4,0
2014,Jul,4261796,1921119,0,0,0,1.2496,3.61,7.35,3.32,2.62,2.13,0,0,13224.51511,0,27,,4,0
2014,Aug,4896001,2147077,0,0,0,1.25865,3.54,7.25,3.25,2.59,2.21,0,0,13224.51511,0,23,,4,0
2014,Sep,3681736,1370445,0,3,5,1.262454,3.24,6.95,3.13,2.41,2.04,0.1666666667,1,13224.51511,0,42,,4,0
2014,Oct,4027944,1537339,0,7,31,1.26593,3.42,7.15,3.37,2.59,2,1,1,11038.41615,0,63,,4,0
2014,Nov,4155524,1497064,0,0,30,1.265296,3.59,7.72,3.55,2.71,2.05,1,1,11038.41615,0,44,,4,0
2014,Dec,4401845,1686776,0,0,15,1.252054,3.6,7.84,3.5,2.64,2.05,0.4838709677,1,11038.41615,0,27,,4,0
2015,Jan,4490420,1572084,0,3,0,1.245265385,3.8,8.68,3.92,2.88,2.19,0,0,12289.4274,0,27,,4,0
2015,Feb,4551825,1796163,0,7,2,1.23832381,3.84,8.8,4.04,3.02,2.22,0.07142857143,1,12289.4274,0,45,,4,0
2015,Mar,3240825,1180835,0,0,2,1.241755769,3.69,8.23,3.78,2.82,2.22,0.06451612903,1,12289.4274,0,56,,4,0
2015,Apr,3604713,1370000,0,3,0,1.249113636,4.2,8,3.92,2.89,2.31,0,0,12853.55092,-1,37,收紧，最多一周一次,3,0
2015,May,3625308,1378219,0,3,1,1.249104167,4.43,7.83,3.94,2.81,2.27,0.03225806452,1,12853.55092,0,33,,3,0
2015,Jun,3333433,1281628,0,3,0,1.248868,4.26,7.81,3.95,2.78,2.25,0,0,12853.55092,0,15,,3,0
2015,Jul,3845273,1639345,0,0,1,1.247125,4.3,8.45,3.95,2.92,2.18,0.03225806452,1,13999.50711,0,20,,3,0
2015,Aug,4550148,2001993,0,0,0,1.215040385,3.89,7.58,3.74,2.69,2.04,0,0,11738.98426,0,21,,3,0
2015,Sep,3509432,1342297,0,2,0,1.20785,3.86,7.26,3.79,2.65,1.9,0,0,11738.98426,0,36,,3,0
2015,Oct,3857524,1583609,0,7,0,1.218486,4.06,8.08,3.93,2.85,1.97,0,0,11738.98426,0,40,,3,0
2015,Nov,3512410,1375505,0,0,0,1.21089,3.95,7.8,3.87,2.83,1.95,0,0,13100.36824,0,42,,3,0
2015,Dec,3721049,1475149,0,0,0,1.18906,3.88,7.98,3.83,2.79,1.94,0,0,13100.36824,0,35,,3,0
2016,Jan,4043000,1447545,0,3,0,1.175116,3.64,7.89,3.68,2.72,1.8,0,0,13100.36824,0,27,,3,0
2016,Feb,3367736,1386995,0,7,2,1.187934091,3.78,8.18,3.87,2.76,1.8,0.06896551724,1,13770.58313,0,23,,3,0
2016,Mar,3017173,1171598,0,0,0,1.193235417,3.95,8.31,3.99,2.89,1.98,0,0,13770.58313,0,33,,3,0
2016,Apr,3459000,1407347,0,3,0,1.195686,4.16,8.59,4.09,3.05,1.99,0,0,13770.58313,0,33,,3,0
2016,May,3322758,1291937,0,2,0,1.18601875,4.07,8.62,4.22,3,1.92,0,0,15243.79927,0,30,,3,0
2016,Jun,3206043,1299276,0,3,0,1.175028,4.38,9.25,4.42,3.18,1.97,0,0,15243.79927,0,7,,3,0
2016,Jul,3930526,1726685,0,0,0,1.160148,4.48,9.95,4.74,3.46,2.07,0,0,15243.79927,0,12,,3,0
2016,Aug,4037005,1814844,0,0,0,1.164865385,4.95,9.92,4.9,3.5,2.16,0,0,13012.83488,0,15,,3,0
2016,Sep,3333627,1307973,0,3,0,1.161154,4.7,9.73,4.94,3.43,2.06,0,0,13012.83488,0,30,,3,0
2016,Oct,3723837,1538795,0,7,0,1.1507,4.41,9.4,4.8,3.35,2.05,0,0,13012.83488,0,19,,3,0
2016,Nov,3388958,1382730,0,0,0,1.131171154,4.41,9.16,4.65,3.18,2.08,0,0,14426.92747,0,17,,3,0
2016,Dec,3948482,1589221,0,0,0,1.11985,4.2,8.91,4.47,3.06,2.06,0,0,14426.92747,0,22,,3,0
2017,Jan,4353505,1651999,0,7,0,1.131684091,4.2,9,4.7,3.15,2.11,0,0,14426.92747,0,11,,3,0
2017,Feb,3138728,1290453,0,2,0,1.133041667,4.46,8.71,4.57,3.18,2.19,0,0,15176.82076,0,12,,3,0
2017,Mar,3330769,1319688,0,0,0,1.128068519,4.76,8.7,4.61,3.08,2.22,0,0,15176.82076,0,18,,3,0
2017,Apr,3521932,1446645,0,5,0,1.128421429,5.06,9.04,4.83,3.16,2.28,0,0,15176.82076,0,26,,3,0
2017,May,3450028,1424942,0,4,0,1.13218125,5.08,9.59,5,3.34,2.21,0,0,16782.61419,0,11,,3,0
2017,Jun,3097716,1306684,0,0,0,1.146917308,4.97,9.69,5.12,3.32,2.3,0,0,16782.61419,0,10,,3,0
2017,Jul,4077183,1849954,0,0,0,1.153366,6.08,9.76,5.14,3.43,2.45,0,0,16782.61419,0,13,,3,0
2017,Aug,3955989,1860942,0,0,0,1.171061538,5.76,9.35,5.22,3.32,2.45,0,0,14275.87376,0,5,,3,0
2017,Sep,3572769,1389806,0,0,0,1.189573077,5.39,9.17,5.06,3.3,2.33,0,0,14275.87376,0,12,,3,0
2017,Oct,4033473,1693091,0,8,0,1.17901087,5.63,9.45,5.29,3.33,2.38,0,0,14275.87376,0,15,,3,0
2017,Nov,3680755,1557337,0,0,0,1.178217308,5.78,9.64,5.34,3.3,2.39,0,0,15799.62229,0,19,,3,0
2017,Dec,4232412,1734669,0,0,0,1.185120833,5.73,9.66,5.36,3.34,2.4,0,0,15799.62229,0,11,,3,0
2018,Jan,4113241,1591220,0,2,0,1.216744231,5.81,9.83,5.47,3.42,2.46,0,0,15799.62229,0,9,,3,0
2018,Feb,4399696,1721160,0,7,1,1.238583333,5.57,9.32,5.45,3.36,2.41,0.03571428571,1,16515.6659,0,10,,3,0
2018,Mar,3668375,1399215,0,0,0,1.240916,5.59,9.51,5.33,3.27,2.4,0,0,16515.6659,0,22,,3,0
2018,Apr,4056097,1575865,0,1,0,1.24701087,5.56,9.31,5.32,3.24,2.43,0,0,16515.6659,0,27,,3,0
2018,May,3817370,1482963,0,1,0,1.232666,5.48,9.48,5.57,3.25,2.39,0,0,18229.47084,0,10,,3,0
2018,Jun,3634089,1448854,0,1,0,1.21354,5.21,9.22,5.42,3.18,2.3,0,0,18229.47084,0,7,,3,0
2018,Jul,4402955,1839578,0,0,0,1.166038,5.34,9.8,5.48,3.26,2.36,0,0,18229.47084,0,4,,3,0
2018,Aug,4825547,2150391,0,0,0,1.146055556,5.77,9.4,5.53,3.14,2.34,0,0,15324.77939,0,9,,3,0
2018,Sep,3713464,1373872,369,1,0,1.14281875,5.48,9.29,5.26,3.04,2.23,0,0,15324.77939,0,5,,3,0
2018,Oct,4654391,1735556,1629,7,0,1.131086,5.28,8.58,4.72,2.78,2.16,0,0,15324.77939,0,9,,3,0
2018,Nov,4631378,1652635,1477,0,1,1.129123077,5.44,8.97,4.89,2.94,2.17,0.03333333333,1,15313.62542,0,16,,3,1
2018,Dec,5121627,1930648,1827,0,0,1.13475625,5.36,8.99,5.02,3,2.23,0,0,15313.62542,0,10,,3,1
2019,Jan,5542896,1945100,1713,2,0,1.154003846,5.95,9.69,5.46,3.15,2.37,0,0,15313.62542,0,5,,3,1
2019,Feb,4560963,1867017,1740,7,0,1.163169048,6.28,9.68,5.84,3.31,2.42,0,0,15335.89726,0,9,,3,1
2019,Mar,4478389,1600902,1557,0,0,1.168471154,6.8,10.34,5.91,3.54,2.41,0,0,15335.89726,0,12,,3,1
2019,Apr,4272755,1618103,1770,3,0,1.167427273,6.64,10.16,5.77,3.37,2.47,0,0,15335.89726,0,10,,3,1
2019,May,4717520,1714481,1677,3,0,1.14179,6.38,10.32,5.71,3.31,2.4,0,0,15335.89726,0,2,,3,1
2019,Jun,4000994,1483392,1494,1,22,1.132660417,6.51,10.74,5.99,3.41,2.42,0.7333333333,1,15335.89726,0,12,,3,1
2019,Jul,4160688,1751497,1626,0,31,1.134861538,5.82,10.26,5.75,3.26,2.26,1,1,15335.89726,0,32,,3,1
2019,Aug,2782897,1069933,1144,0,31,1.1077,5.28,9,5.13,2.91,1.84,1,1,15335.89726,0,100,,3,1